Denalmo west=Migina
Asnu west=Amiximine
Esmosno west=Dosmolixo
Age west=Amagagiga
Axagene west=Asmudu
Disminixisnu west=Misninu
Dudaxo west=Asnelne
Elnilminigu west=Mo-Miga
Dixano west=Egexude
Alegina west=Mulina
Danixa west=Alixude
Emosmino west=Dagamila
Elnesnila west=Dexudo
Dusmodila west=Musnexo
Esnusmu west=Agixaginu
Mo-Mimo west=Axo-Ma
Mosnino west=Magaxila
Do-De west=Asmesma
Mosmilna west=Megosmimu
Migusma west=Amenigu
Menisnile west=Exexalinu
Amodalo west=Digolismo
Elaxa west=Asnile
Asmame west=Exegixo
Mo-Dilmu west=Exudeno
Dexema west=Asnixu
Esnisnixe west=Enigixa
Egenu west=Axilu-Minilmo
Emu-Ega west=Digila
Exosnilo west=Mege
Enilosne west=Molosme
Digimixu west=Degosme
Dimegu west=Dememo
Mu-Demu west=Mulusne
Esmalmu west=Asmanismu
Esmoligigo west=Egimima
Eligo-A west=Emodulna
Melmosmima west=Mamule
Dilo west=Asnisnu
Dalno-A west=Mimelnu
Axaxu-A west=Ego-Axe
Mo-Ame west=Malosma
Daxalima west=Manu
Dinana west=Degodo
Mu-Enina west=Amaligo
Mo-Mo-E west=Egenu-Da
Digixu west=Megude
Asmole west=Examixo
De west=Daxige
Alagime west=Esnosna
Mesne west=Mudina
Digiga west=Mudosmo
Anelmo west=Anenosmo
Mudusmo west=Digisnu
Dosnude west=Agesnisne
Egixano west=Agulme
Emimege west=Esmamu
Mu-Agu west=Mo-E
Dixolima east=Esmimu
Eligegisnu west=Maxino
Dasnilnimo west=Exulule
Esmisnu west=Agudo
Ela west=Alagene
Exigano west=Mesmamixe
Egodasme west=Dilelu
Agemosma west=Exegusnila
Egamane west=Diludo
Mesmimixu west=Egolmo
Menosme west=Emulodisma
Exelosmine west=Mixamisnimo
Daxulu west=Eginusma
Digana west=Alasmila
Mimisnimixo west=Anosmixe
Axasnu west=Almago
Manu-A west=Anaxudiximilisme
Agisne west=Egudege
Do-Esmisma west=Emo-Me
Milinu west=Misnaminisma
Minilo west=Molnena
Esnanixu west=Dudemu
Dosnane west=Diliga
Masmilnina west=Molnixa
Emilisme west=Exexu-A
Dagulno west=Mosnegigimu
Egininu west=Dudaxisne
Egosma west=Mesmanila
Du-Ane west=Axu-Do
Esmudo west=Egalmima
Dolage west=Ememe
Damo west=Amu-E
Mo-Exe west=Exagosme
Exulusne west=Dododu
Anasno west=Dodano
Anasmigu west=Amagelmo
Manalu west=Esnusnu
Egaxudo west=Egilnisme
Minima west=Emamu-E
Enodanu west=Dilnu
Mudesna west=Masmosmu
Amigama west=Agududisna
Dosmixigilu west=Amu-Mu
Memolo west=Amexilo
Agimo west=Degago
Memosmino west=Mimilmo
Axu-Dine west=Elamine
Amu-Agixo west=Emelole
Maxodiniga west=Manilmo
Asnane west=Denixa
Dagile west=Agesma
Amaxosno west=Do-Diga
Delaligo west=Dixu-E
Migosmismu west=Amulme
Deno west=Manudixa
Agemino west=Emagu
Malo-A east=Mename
Agosno west=Alelnismiminisna
Dixa west=Exanole
Mismimu west=Modole
Mo-Digu west=Delo-Da
Amodino west=Aninoda
Dimene west=Emaxila
Modisnu west=Esmisma
Enodege west=Mo-Ane
Egulixo west=Mo-Ala
Danene west=Amixe
Anamo west=Agismo
Enudanige west=Egelegixe
Digage west=Emolmismila
Elulme west=Asno-Mo
Menosmila west=Esmesme
Esnusme west=Degolmu
Dexo-A west=Amiludu
Dimismu west=Alemu
Daliga west=Mixamo
Emosno west=Enene
Modile west=Esmisna
Dolnodu west=Dulmude
Dinu-Mixu west=Amaneno
Dexudo west=Enimeno
Agixaginu west=Dasmaxu
Dismaxa west=Dudo-A
Mililmu west=Malixa
Dismege west=Emanode
Enodelnige west=Manele
Dinaxiligo west=Enixusmo
Dusma west=Enelno
Elanana west=Axu-Ma
Mamimo west=Demudu
Exu-Ala west=Asnale
Elme west=Migo-Disne
Alnudu west=Manosmixe
Demo-Do west=Agulmisma
Axixime west=Dulmegu
Anasnu west=Dismo-Me
Digu-Mo west=Dosmo
Agigesna west=Anolnina
Dolame west=Amolne
Dulnodu west=Modaxe
Megilo west=Dagane
Enimisno west=Manosmisno
Asmemisna west=Dolexu
Egimima west=Enilno
Alilna west=Migosmismu
Dalnodu west=Axilo
Asnisnu west=Damixu
Dimusmo west=Molisnige
Axo-Eno west=Modolilmu
Degule west=Esnine
Agalmo west=Do-Mino
Anosnino west=Aminosme
Amaligo west=Mo-Dasmo
Axo-Exisne west=Dusmudu
Anigixu west=Memu
Alnela west=Malama
Amexo-Mo west=Mimelo
Agimigino west=Dodena
Eligaxo west=Dasmaximu
Molmusma east=Misnigilmu
Elmena west=Denemilo
Elnime west=Aximaga
Enosno west=Misnexe
Dinolimu west=Dalmagixo
Eganaxo west=Anemesmo
Mimelisna west=Enode
Elemilo west=Elexa
Dulelo west=Exane
Agano-Du west=Daxo
Agaxalu west=Mulo
Egosne west=Daxe
Egigexa west=Dismaxa
Dasmelmo west=Asmene
Musnu-E west=Desmusma
Mesmamixe west=Anasme
Mixu-Do west=Agosmismo
Enulaxisna west=Esmo-Me
Emiximu west=Asmo-Ma
Do-Dagu west=Esnesna
Elilnina west=Mo-Egine
Musnode west=Asmu-Mino
Almago west=Dusminisne
Denasnima west=Enalime
Dodamo west=Dasnalnu
Digalnu west=Amilesno
Asmimo west=Aximo
Aninulu west=Axexusmo
Emixage west=Desnelu
Memime west=Molime
Mosmolo west=Amodixa
Elino west=Demo-De
Dulala west=Dalo
Dolmesna west=Dusmusmo
Egismilu west=Dismage
Amulnu west=Ego-Mo
Du-Dexe west=Mimoda
Dinixisnu west=Daxegisne
Exulexu west=Almaxa
Esmole west=Do-Dima
Du-Mimime west=Alo-Du
Alasmu west=Agexixe
Asmexa west=Alosma
Degimu west=Dodu-Migigu
Asmanixe west=Dasnusmina
Dimixinisnu west=Memimimismo
Molusma west=Mu-Minu
Aninu west=Esnulma
Esnanilmilu west=Enulige
Enelode west=Memulinu
Ameninu west=Maleno
Esmege west=Dagosmo
Mosmemu west=Almodo
Amexilo west=Mimuda
Masmolu west=Emalno
Emasmixe west=Dulagu
Axeno west=Digolmu
Ego-Axo west=Dixelismu
Desnasmo west=Mududima
Magenu west=Minodu
Axolexa west=Do-Danu
Anexamo west=Axalme
Elu-Du west=Eludolimo
Enesme west=Axamagima
Du-Dima west=Mexu-Du
Esnimu east=Exilno
Migu-Do west=Demixo
Agixo-A west=Megagila
